Dateiname,Unbekannte_Wörter,Wortfragmente,Wortanzahl,Entscheidung,Unbekannte_Wörter_Anzahl,Wortfragmente_Anzahl,Dateigröße_Bytes
651021 — HCO Bulletin — Release Rehabilitation  [B089-007].txt,1.85%,0.74%,542,Geeignet,10,4,3177
590111 — HCO Bulletin — 'An amusingly effective process...'  [B023-013].txt,7.14%,0.00%,56,Ungeeignet,4,0,359
"650630 — HCO Bulletin — Release, Rehabilitation of Former Releases and Thetan Exteriors  [B005-018].txt",4.71%,0.65%,616,Geeignet,29,4,3539
730223 — HCO Bulletin — Registrar and Sales Personnel List  [B013-006].txt,1.46%,0.61%,820,Geeignet,12,5,5103
800620 — HCO Bulletin — L1C Word List  [B082-001].txt,5.11%,0.57%,352,Ungeeignet,18,2,2245
590623 — HCO Bulletin — What Is Scientology  [B035-066].txt,3.87%,0.00%,362,Geeignet,14,0,2261
590622 — HCO Bulletin — How to ''Sell Scientology''  [B176-001].txt,5.86%,0.00%,256,Ungeeignet,15,0,1502
700820 — HCO Bulletin — Exteriorization Rundown Musts  [B043-089].txt,9.93%,0.88%,685,Ungeeignet,68,6,3813
810626 — HCO Bulletin — Use of LRH Model Auditing Tapes  [B056-075].txt,1.03%,0.00%,487,Geeignet,5,0,2762
"600331 — HCO Bulletin — Hubbard Co-Audit Control Panel, The  [B027-031].txt",4.60%,0.77%,391,Geeignet,18,3,2325
641211 — HCO Bulletin — Processes  [B088-017].txt,0.82%,0.56%,1962,Geeignet,16,11,10769
800421 — HCO Bulletin — Examiner  [B058-035].txt,9.50%,0.56%,358,Ungeeignet,34,2,1963
590110 — HCO Bulletin — HGC Allowed Processes  [B035-004].txt,7.83%,1.00%,702,Ungeeignet,55,7,3993
590923 — HCO Bulletin — Magazine Article  [B023-168].txt,4.74%,1.05%,190,Geeignet,9,2,1193
650830 — HCO Bulletin — Release Stages  [B031-023].txt,2.54%,0.18%,551,Geeignet,14,1,3248
591223 — HCO Bulletin — Responsibility  [B139-023].txt,1.32%,0.00%,759,Geeignet,10,0,4330
720818 — HCO Bulletin — Grammar Definition  [B012-144].txt,1.85%,0.00%,1135,Geeignet,21,0,6833
"600225 — HCO Bulletin — Model Session, The  [B027-017].txt",2.98%,0.12%,2553,Geeignet,76,3,13930
680814R — HCO Bulletin — Remedy B - Environment and ''New Style''  [B092-002].txt,3.38%,2.66%,414,Geeignet,14,11,2539
801225 Issue 2 — HCO Bulletin — Flag Rep Confessional List  [B059-043].txt,3.19%,0.08%,1318,Geeignet,42,1,7945
"690527 — HCO Bulletin — VIII's Nightmare, The  [B075-053].txt",5.75%,0.00%,261,Ungeeignet,15,0,1441
810410R — HCO Bulletin — Reach and Withdraw  [B056-072].txt,2.16%,0.10%,3050,Geeignet,66,3,17223
590304 — HCO Bulletin — HGC Allowed Processes  [B023-043].txt,9.02%,1.18%,255,Ungeeignet,23,3,1631
580725 — HCO Bulletin — Clearing Notes  [B144-003].txt,2.85%,0.85%,2351,Geeignet,67,20,13510
820826 — HCO Bulletin — Pain and Sex  [B061-022].txt,1.58%,0.61%,823,Geeignet,13,5,4754
"691017 — HCO Bulletin — Drugs, Aspirin and Tranquilizers  [B042-147].txt",2.49%,0.00%,1205,Geeignet,30,0,7023
"801221 — HCO Bulletin — Scientology Drug Rundown, The  [B056-062].txt",1.89%,0.42%,4084,Geeignet,77,17,22868
710609 Issue 1RA — HCO Bulletin — CS Tips  [B130-018].txt,2.57%,0.10%,971,Geeignet,25,1,5235
"650405 — HCO Bulletin — Conditions Test - Process I-X - Registrars, A  [B005-008].txt",4.67%,0.93%,107,Geeignet,5,1,638
710108 — HCO Bulletin — Use of L1B In Exteriorization  [B174-015].txt,1.76%,0.00%,340,Geeignet,6,0,2001
590827 — HCO Bulletin — Clear Tests Revised - MEST Clears and Theta Clears  [B023-143].txt,2.07%,0.00%,726,Geeignet,15,0,4020
630429 — HCO Bulletin — Routine 3 - Directive Listing - Listing Liabilities  [B153-013].txt,4.20%,0.71%,1406,Geeignet,59,10,7567
621002 — HCO Bulletin — When You Need Reassurance  [B002-070].txt,6.96%,0.00%,115,Ungeeignet,8,0,697
600425 — HCO Bulletin — Send Your Clipping Files  [B036-075].txt,0.88%,1.77%,113,Geeignet,1,2,670
680905 — HCO Bulletin — Handling Student Dope Off  [B041-069].txt,2.11%,0.33%,615,Geeignet,13,2,3712
790823 Issue 3R — HCO Bulletin — Debug Tech  [B103-010].txt,2.14%,0.29%,3786,Geeignet,81,11,21871
"620521 — HCO Bulletin — Missed Withholds, Asking About  [B038-022].txt",5.59%,0.00%,143,Ungeeignet,8,0,873
840123 — HCO Bulletin — Drug Rundowns and Radiation  [B057-041].txt,2.33%,1.16%,172,Geeignet,4,2,1043
721210 — HCO Bulletin — Fundamentals  [B050-080].txt,3.61%,0.22%,2274,Geeignet,82,5,13654
711012R — HCO Bulletin — Method 2 Word Clearing Form - Revised 11 October 1971 - for Use in the Classroom  [B046-019].txt,2.09%,0.00%,191,Geeignet,4,0,1084
600623 — HCO Bulletin — Special Zone Plan - The Scientologist's Role in Life  [B036-106].txt,2.22%,0.07%,3059,Geeignet,68,2,17557
690802 — HCO Bulletin — ''LX'' Lists  [B042-127].txt,3.64%,1.50%,467,Geeignet,17,7,2573
590921 — HCO Bulletin — Two Paper Tricks  [B035-133].txt,2.48%,0.23%,444,Geeignet,11,1,2504
600125 — HCO Bulletin — OT-3 Procedure - HGC Allowed Processes  [B024-021].txt,7.97%,2.39%,878,Ungeeignet,70,21,5507
"590106 — HCO Bulletin — Change of HCO Policy Letter of 15 December, 1958  [B023-004].txt",21.57%,0.00%,51,Ungeeignet,11,0,339
"600331 — HCO Bulletin — Present Time Problem, The  [B027-026].txt",2.97%,0.16%,1281,Geeignet,38,2,7242
610220 — HCO Bulletin — Important Data on Goals SOP  [B154-001].txt,1.25%,0.00%,319,Geeignet,4,0,1855
790109 — HCO Bulletin — BTB Cancellation  [B173-009].txt,19.35%,0.65%,155,Ungeeignet,30,1,835
690507 Issue 7 — HCO Bulletin — Dianetic Course Study Drills  [B042-049].txt,2.31%,0.14%,735,Geeignet,17,1,4484
700710 Issue 2 — HCO Bulletin — Interiorization Intensive Goof  [B010-074].txt,6.42%,0.21%,483,Ungeeignet,31,1,2749
591231 — HCO Bulletin — Blow-Offs  [B139-025].txt,1.37%,0.00%,1530,Geeignet,21,0,8645
600721 — HCO Bulletin — Some Help Terminals  [B140-015].txt,0.96%,0.12%,832,Geeignet,8,1,4757
671110 — HCO Bulletin — Listing - S & Ds Do's and Don'ts  [B007-017].txt,1.23%,0.92%,326,Geeignet,4,3,1818
591112 — HCO Bulletin — Acknowledgements in Auditing  [B023-260].txt,3.51%,0.00%,485,Geeignet,17,0,2880
711126 — HCO Bulletin — Handling Misunderstood Words on Tape Recorded Materials  [B047-015].txt,1.95%,0.07%,1490,Geeignet,29,1,8693
600803 — HCO Bulletin — Calling All Auditors  [B036-116].txt,3.45%,0.74%,812,Geeignet,28,6,4771
720616R — HCO Bulletin — Auditor's Rights Modified  [B125-002].txt,3.75%,0.65%,614,Geeignet,23,4,3432
751102R — HCO Bulletin — Objectives - An Early Release  [B127-006].txt,1.13%,0.00%,266,Geeignet,3,0,1549
620301 — HCO Bulletin — Prepchecking  [B002-013].txt,2.20%,0.91%,1544,Geeignet,34,14,8819
710421-1R — HCO Bulletin — Quadruple Dianetics - Dangers Of  [B053-016].txt,5.67%,0.05%,2080,Ungeeignet,118,1,11542
780724 — HCO Bulletin — Dianetic Remedies  [B102-012].txt,2.68%,0.40%,1490,Geeignet,40,6,8583
700530 — HCO Bulletin — Interiorization Intensive - Two-Way Comm  [B152-002].txt,2.91%,0.00%,481,Geeignet,14,0,2681
"711208 — HCO Bulletin — CS and Cramming Cycles, The  [B011-255].txt",2.60%,0.00%,423,Geeignet,11,0,2282
830808 — HCO Bulletin — Cycling through TRs on a Professional TR Course  [B057-024].txt,0.75%,0.00%,533,Geeignet,4,0,2949
721203 — HCO Bulletin — Student Comm Lag on Checkouts  [B012-197].txt,1.78%,0.44%,450,Geeignet,8,2,2655
610406 Issue 2 — HCO Bulletin — SOP Goals - Repairing a Case  [B154-003].txt,2.80%,0.00%,322,Geeignet,9,0,1815
"710802 — HCO Bulletin — TRs, Solo Course and Advanced Courses  [B011-125].txt",5.84%,1.82%,274,Ungeeignet,16,5,1568
701008 — HCO Bulletin — Persistent FN  [B010-116].txt,7.67%,1.24%,886,Ungeeignet,68,11,4793
570829 — HCO Bulletin — Government Project Stable Data  [B021-054].txt,0.98%,0.00%,205,Geeignet,2,0,1266
590611 — HCO Bulletin — Location of Terminals on HAS Co-Audit  [B071-028].txt,3.57%,0.40%,252,Geeignet,9,1,1532
630909 — HCO Bulletin — Repetitive Rudiments and Repetitive Prepchecking  [B117-002].txt,1.45%,0.00%,1031,Geeignet,15,0,5723
610817 — HCO Bulletin — HCO Special Events Course - Washington DC  [B001-069].txt,1.78%,0.15%,1346,Geeignet,24,2,7761
730407RA — HCO Bulletin — Gradients in TRs  [B165-013].txt,14.93%,2.47%,730,Ungeeignet,109,18,3949
"600225 — HCO Bulletin — Model Session, The  [B024-057].txt",5.00%,0.40%,2519,Ungeeignet,126,10,14132
680806 — HCO Bulletin — R3H  [B008-027].txt,2.85%,0.00%,246,Geeignet,7,0,1359
650806 — HCO Bulletin — Qualifications Technical Actions  [B040-070].txt,3.17%,0.27%,2933,Geeignet,93,8,15913
780811 Issue 1 — HCO Bulletin — Rudiments - Definitions and Patter  [B165-036].txt,2.30%,0.16%,1914,Geeignet,44,3,11022
590909 — HCO Bulletin — Magazine Article  [B023-183].txt,1.92%,0.55%,365,Geeignet,7,2,2151
840121 Issue 2 — HCO Bulletin — CSing the Happiness Rundown  [B062-026].txt,5.19%,0.19%,1080,Ungeeignet,56,2,6098
710422 — HCO Bulletin — Cramming  [B011-047].txt,3.86%,0.30%,2693,Geeignet,104,8,15740
611123 — HCO Bulletin — Auxiliary Prehav 3D Scale  [B037-072].txt,14.69%,1.34%,524,Ungeeignet,77,7,3870
"730520 Issue 1 — HCO Bulletin — Wants Handled Rundown, The  [B013-012].txt",9.62%,1.80%,1112,Ungeeignet,107,20,6467
701004 — HCO Bulletin — Case Supervisor Signature  [B010-114].txt,4.08%,0.00%,98,Geeignet,4,0,559
590112 — HCO Bulletin — Tone of Voice - Acknowledgement  [B023-016].txt,7.07%,0.00%,99,Ungeeignet,7,0,667
"620830 — HCO Bulletin — Amendment of HCO Bulletin of July 30, 1962  [B160-025].txt",5.04%,0.00%,119,Ungeeignet,6,0,771
580203 — HCO Bulletin — HGC Current Procedure  [B034-013].txt,8.03%,0.00%,523,Ungeeignet,42,0,3261
591215 — HCO Bulletin — Urgent Change in All Co-Audit Courses  [B071-042].txt,4.84%,0.00%,785,Geeignet,38,0,4513
710705 — HCO Bulletin — Assists  [B045-006].txt,5.09%,0.18%,550,Ungeeignet,28,1,3071
710715 Issue 3 — HCO Bulletin — Drug Handling  [B078-045].txt,6.86%,0.26%,1137,Ungeeignet,78,3,6629
710108 — HCO Bulletin — Auditing CS-1 for Dianetics and Scientology  [B142-003].txt,4.12%,0.32%,1238,Geeignet,51,4,7016
690426 — HCO Bulletin — Somatics  [B009-049].txt,5.76%,0.84%,712,Ungeeignet,41,6,4153
620831 — HCO Bulletin — 3GA - Dynamic Assessment by Rock Slam  [B038-054].txt,1.82%,1.82%,110,Geeignet,2,2,678
610605 — HCO Bulletin — Processes Allowed  [B037-038].txt,7.51%,0.43%,1852,Ungeeignet,139,8,10245
730520 Issue 3 — HCO Bulletin — Expanded Dianetics CS and Auditor Errors  [B013-014].txt,8.49%,0.77%,518,Ungeeignet,44,4,3119
"871030 — HCO Bulletin — Yellow Sheet, The  [B109-010].txt",7.82%,0.00%,243,Ungeeignet,19,0,1419
"700614 — HCO Bulletin — Return Program, The  [B078-004].txt",2.54%,0.28%,1065,Geeignet,27,3,5753
580709 — HCO Bulletin — Staff Clearing  [B022-060].txt,15.62%,0.00%,32,Ungeeignet,5,0,201
650407 — HCO Bulletin — Premature Acknowledgements  [B031-007].txt,1.82%,0.00%,439,Geeignet,8,0,2603
"820825 — HCO Bulletin — Joy of Creating, The  [B061-021].txt",2.38%,0.00%,84,Geeignet,2,0,517
651105 — HCO Bulletin — Five-Way Bracket on Help  [B040-084].txt,4.00%,0.00%,75,Geeignet,3,0,465
721228RA — HCO Bulletin — Auditor's Rights Addition - Revised  [B096-031].txt,10.08%,0.21%,486,Ungeeignet,49,1,2860
610619 — HCO Bulletin — Sec Check Whole Track  [B001-058].txt,1.68%,0.19%,3207,Geeignet,54,6,19065
650802 — HCO Bulletin — Release Goofs  [B005-023].txt,4.62%,0.27%,1126,Geeignet,52,3,6429
690422 — HCO Bulletin — Dianetics vs Scientology  [B093-010].txt,1.58%,0.00%,505,Geeignet,8,0,3098
720327 Issue 3RB — HCO Bulletin — Auditor Correction List - Auditor Recovery  [B082-064].txt,12.98%,0.22%,1356,Ungeeignet,176,3,7941
690703 — HCO Bulletin — Health Form and Somatics  [B159-037].txt,3.21%,0.16%,1276,Geeignet,41,2,7438
600420 — HCO Bulletin — Processes  [B036-071].txt,8.16%,0.68%,147,Ungeeignet,12,1,912
570611 — HCO Bulletin — Training and CCH Processes  [B033-040].txt,3.11%,0.27%,6762,Geeignet,210,18,41612
720203 — HCO Bulletin — R6EW-OT III No Interference Area  [B012-019].txt,3.43%,0.44%,1603,Geeignet,55,7,9331
720208 — HCO Bulletin — Distribution Corrections  [B012-023].txt,14.41%,0.00%,111,Ungeeignet,16,0,697
800422 — HCO Bulletin — Assessment Drills  [B056-011].txt,2.35%,0.10%,3150,Geeignet,74,3,17553
700612 — HCO Bulletin — Programming of Cases  [B010-054].txt,3.77%,0.24%,2522,Geeignet,95,6,14024
681022R — HCO Bulletin — Teaching the Class VIII  [B092-012].txt,9.63%,0.66%,301,Ungeeignet,29,2,1831
591014 — HCO Bulletin — Notice to Book Administrators  [B023-219].txt,6.50%,2.94%,646,Ungeeignet,42,19,3900
711222 — HCO Bulletin — Solo D of P  [B011-275].txt,2.55%,0.23%,432,Geeignet,11,1,2288
821013 — HCO Bulletin — Ethics and the CS  [Misc03-039-5].txt,2.74%,0.34%,1458,Geeignet,40,5,7996
"621123 — HCO Bulletin — Questions on HCO Bulletin November 23, AD12  [B072-027].txt",14.14%,0.91%,990,Ungeeignet,140,9,5682
"800307 — HCO Bulletin — Diets, Comments Upon  [B056-006].txt",2.11%,0.15%,662,Geeignet,14,1,4110
590605 — HCO Bulletin — Formula 10  [B023-089].txt,6.53%,0.00%,291,Ungeeignet,19,0,1740
700302 Issue 2 — HCO Bulletin — List L1A  [B010-021].txt,2.69%,0.54%,186,Geeignet,5,1,1031
590224 — HCO Bulletin — Technical Bulletin - 'It is not only unreasonable...'  [B035-017].txt,7.36%,0.78%,258,Ungeeignet,19,2,1684
620807 — HCO Bulletin — Running CCHs  [B002-052].txt,4.17%,0.00%,288,Geeignet,12,0,1581
640708 — HCO Bulletin — More Justifications  [B030-007].txt,3.34%,0.30%,329,Geeignet,11,1,1904
800515 — HCO Bulletin Attachment — Co-Audit Auditor's Report Form  [B056-016].txt,10.00%,0.00%,70,Ungeeignet,7,0,450
710715 Issue 1 — HCO Bulletin — Quads Cancelled  [B011-111].txt,8.19%,0.71%,562,Ungeeignet,46,4,2962
601004 Circa — HCO Bulletin — 'Havingness and duplication...'  [B114-033].txt,3.82%,0.00%,131,Geeignet,5,0,914
711024 Issue 2 — HCO Bulletin — Op Pro by Dup - End Phenomena  [B046-034].txt,6.61%,0.83%,121,Ungeeignet,8,1,746
810129 — HCO Bulletin — HC Outpoint-Pluspoint Lists RB Words List  [B082-022].txt,3.91%,2.20%,409,Geeignet,16,9,2866
690209 — HCO Bulletin — Research Notes - Re - The Triple Grades  [B009-014].txt,7.02%,1.40%,356,Ungeeignet,25,5,2085
700126 — HCO Bulletin — Examiner and Floating Needle  [B076-002].txt,2.84%,0.00%,282,Geeignet,8,0,1599
720327 Issue 3 — HCO Bulletin — Auditor Correction List - Auditor Recovery  [B048-049].txt,8.40%,0.71%,1822,Ungeeignet,153,13,11166
600827 — HCO Bulletin — New Developments  [B036-128].txt,2.46%,0.00%,447,Geeignet,11,0,2504
680911 — HCO Bulletin — Case Supervision Data  [B041-071].txt,9.47%,1.05%,95,Ungeeignet,9,1,596
570729 — HCO Bulletin — Withholds and Communication  [B033-047].txt,4.60%,0.18%,544,Geeignet,25,1,3202
"591006 — HCO Bulletin — Recommendation of Franchised Auditors, The  [B023-210].txt",2.44%,0.61%,164,Geeignet,4,1,977
720409 Issue 11 — HCO Bulletin — Clearing List Words in Scientology - Study Correction List Revised  [B012-080].txt,4.71%,0.19%,531,Geeignet,25,1,4162
"900328 — HCO Bulletin — Role of Oil on the Purification Rundown, The  [B112-003].txt",0.97%,0.24%,1238,Geeignet,12,3,7261
620426 — HCO Bulletin — Recommended Processes HGC  [B038-018].txt,7.71%,0.51%,1180,Ungeeignet,91,6,7034
570524 — HCO Bulletin — Stable Data for Instructors  [B021-024].txt,2.92%,0.00%,342,Geeignet,10,0,2110
570603 — HCO Bulletin — 'Herbie Parkhouse over in London...'  [B021-026].txt,3.37%,0.00%,297,Geeignet,10,0,1616
850107 — HCO Bulletin — HCO Confessionals  [B108-001].txt,2.74%,0.20%,1022,Geeignet,28,2,5936
710531 — HCO Bulletin — Standard 12.5 Hour Intensive Programs  [B046-022].txt,5.60%,1.77%,339,Ungeeignet,19,6,1930
"721103 — HCO Bulletin — PC Folder and Its Contents, The  [B012-170].txt",3.57%,0.31%,981,Geeignet,35,3,5743
691123 Issue 3R — HCO Bulletin — Student Rescue Intensive  [B051-050].txt,7.31%,0.17%,588,Ungeeignet,43,1,3623
790823 Issue 2 — HCO Bulletin — Product Debug Repair List  [B082-034].txt,8.21%,0.37%,2715,Ungeeignet,223,10,15677
731124RB — HCO Bulletin — Hi-Lo TA Assessment CS - (CS Series 53 - Short Form)  [B053-023].txt,9.72%,0.63%,1111,Ungeeignet,108,7,6543
610817 — HCO Bulletin — HCO Special Events Course - Washington DC  [B028-042].txt,1.73%,0.15%,1330,Geeignet,23,2,7693
590921 — HCO Bulletin — ''Results in Auditing with S2''  [B084-010].txt,3.26%,0.12%,860,Geeignet,28,1,4737
"690207 — HCO Bulletin — Body Communication Process (Corrected), The  [B075-004].txt",2.00%,0.21%,951,Geeignet,19,2,5729
690501 — HCO Bulletin — Grinding Out Engrams  [B159-019].txt,3.23%,0.00%,557,Geeignet,18,0,3244
610321 — HCO Bulletin — Script of a Model Session  [B028-015].txt,1.43%,0.14%,1400,Geeignet,20,2,8233
640814 — HCO Bulletin — Prepcheck Buttons  [B088-003].txt,3.47%,0.17%,576,Geeignet,20,1,3466
670102 — HCO Bulletin — Dating - Forbidden Words  [B138-004].txt,2.07%,0.00%,145,Geeignet,3,0,909
600428 — HCO Bulletin — Books Are Dissemination  [B139-073].txt,1.93%,0.09%,2332,Geeignet,45,2,13464
690914 Issue 2 — HCO Bulletin — Learning Processes - Education by Evaluation of Importance  [B042-137].txt,0.49%,0.24%,411,Geeignet,2,1,2418
680928 — HCO Bulletin — Dianetics  [B008-060].txt,2.00%,0.33%,300,Geeignet,6,1,1752
840310 — HCO Bulletin — Message  [B062-038].txt,1.65%,0.00%,182,Geeignet,3,0,1147
600420 — HCO Bulletin — Processes  [B139-067].txt,4.44%,0.74%,135,Geeignet,6,1,844
630819 — HCO Bulletin — How to Do an ARC Break Assessment  [B039-043].txt,6.99%,0.40%,2002,Ungeeignet,140,8,11719
580915 — HCO Bulletin — More on Training Drill Two  [B034-069].txt,5.25%,0.46%,438,Ungeeignet,23,2,2504
840606 Issue 2 — HCO Bulletin — ''Murder Routine''  [B057-056].txt,1.60%,0.53%,375,Geeignet,6,2,2197
590224 — HCO Bulletin — Technical Bulletin - 'It is not only unreasonable...'  [B144-006].txt,8.94%,0.00%,302,Ungeeignet,27,0,1961
"630709 — HCO Bulletin — Technical Summary - The Required Skills of Processing and Why, A  [B003-042].txt",2.44%,0.42%,1681,Geeignet,41,7,9392
631214 — HCO Bulletin — Case Analysis - Health Research  [B039-064].txt,3.70%,0.32%,622,Geeignet,23,2,3560
820413 — HCO Bulletin — Still Needle and Confessionals  [B064-017].txt,0.50%,0.00%,402,Geeignet,2,0,2179
730701 Issue 4 — HCO Bulletin — Responsibility Sheet  [B051-056].txt,4.61%,0.77%,521,Geeignet,24,4,3473
600804 — HCO Bulletin — Regimen 1  [B140-018].txt,2.64%,0.11%,947,Geeignet,25,1,5431
681004 — HCO Bulletin — Ruds  [B008-064].txt,11.83%,1.08%,93,Ungeeignet,11,1,557
690717 Issue 2 — HCO Bulletin — Flagrant Auditing Errors  [B042-114].txt,1.62%,0.29%,679,Geeignet,11,2,4143
600119 — HCO Bulletin — Tapes for Sale  [B024-014].txt,7.26%,0.63%,634,Ungeeignet,46,4,3954
"640912 — HCO Bulletin — Clay Table, More Goofs  [B081-010].txt",2.33%,0.00%,515,Geeignet,12,0,2986
690423 — HCO Bulletin — Dianetics - Basic Definitions  [B009-040].txt,7.11%,0.51%,2139,Ungeeignet,152,11,13091
660920 — HCO Bulletin — Minus Scale Releases - ARC Straightwire - Dianetic  [B006-023].txt,3.39%,0.00%,501,Geeignet,17,0,2962
570610 — HCO Processing Bulletin — What to Tell New HGC Auditors to Process on Preclears  [B021-029].txt,5.39%,0.00%,167,Ungeeignet,9,0,913
730124 Issue 2 — HCO Bulletin — Examiner and False TA  [B051-007].txt,5.23%,1.16%,172,Ungeeignet,9,2,980
600825 — HCO Bulletin — Powerful Presession Additions  [B140-023].txt,1.75%,0.18%,571,Geeignet,10,1,3302
790305RB — HCO Bulletin — Dianetic Clear False Declares  [B055-061].txt,12.59%,2.02%,397,Ungeeignet,50,8,2470
"610308 — HCO Bulletin — Bad ''Auditor'', The  [B161-006].txt",1.80%,0.11%,1888,Geeignet,34,2,10700
840121R — HCO Bulletin — Happiness Rundown Repair List (HRL)  [B107-007].txt,9.73%,0.80%,1491,Ungeeignet,145,12,8858
650830 — HCO Bulletin — Release Stages  [B040-074].txt,3.81%,0.54%,551,Geeignet,21,3,3232
"800429R — HCO Bulletin — Prepared Lists, Their Value and Purpose  [B104-005].txt",1.87%,0.45%,2243,Geeignet,42,10,12743
830308 — HCO Bulletin — Handling PTS Situations  [B061-047].txt,2.78%,0.00%,756,Geeignet,21,0,4120
"600112 — HCO Bulletin — Scientology Motto, A  [B024-007].txt",7.21%,0.45%,222,Ungeeignet,16,1,1417
710715 Issue 2 — HCO Bulletin — CS Case Gain  [B045-010].txt,7.41%,0.53%,189,Ungeeignet,14,1,1055
710808 Issue 2 — HCO Bulletin — Sub-Zeros - Triple Grades - Lower Levels - Triple Grades  [B124-006].txt,9.25%,4.12%,1600,Ungeeignet,148,66,9014
"600407 — HCO Bulletin — New Summary of Auditing, A  [B139-064].txt",2.66%,0.27%,2218,Geeignet,59,6,12432
"600811 — HCO Bulletin — Laws of Assessment, The  [B140-021].txt",2.27%,0.00%,660,Geeignet,15,0,3776
731124 Issue 2RE — HCO Bulletin — Hi-Lo TA Assessment CS - (CS Series 53 - Short Form)  [B097-019].txt,6.76%,0.59%,1360,Ungeeignet,92,8,7726
641211 — HCO Bulletin — Processes  [B004-041].txt,1.53%,0.16%,1901,Geeignet,29,3,10352
700619 Issue 2 — HCO Bulletin — Chart of Human Evaluation  [B043-057].txt,8.90%,1.46%,618,Ungeeignet,55,9,3576
710930 Issue 5 — HCO Bulletin — Co-Auditing Drill - Model Session for CCHs 1 to 4  [B011-177].txt,5.70%,0.65%,2314,Ungeeignet,132,15,13047
600526 — HCO Bulletin — Calling All Auditors about Help  [B036-092].txt,2.99%,0.46%,435,Geeignet,13,2,2385
801112 Issue 2 — HCO Bulletin — Registrar and Sales Personnel Confessional List  [B056-057].txt,1.74%,0.13%,1548,Geeignet,27,2,9509
"650929 Issue 2 — HCO Bulletin — Continuing Overt Act, The  [B031-027].txt",0.98%,0.00%,922,Geeignet,9,0,5196
690606 — HCO Bulletin — Prediction and Consequences  [B009-102].txt,3.14%,0.12%,860,Geeignet,27,1,5256
790215 — HCO Bulletin — Verbal Tech - Penalties  [B061-040].txt,4.55%,1.30%,154,Geeignet,7,2,966
591029 — HCO Bulletin — Communication Process and Havingness  [B023-244].txt,3.86%,1.21%,414,Geeignet,16,5,2632
600512 — HCO Bulletin — Help Processing  [B141-025].txt,4.72%,0.21%,974,Geeignet,46,2,5459
720225 — HCO Bulletin — Cancellation - 'HCOB 25 Feb 1972 ''L10 Prerequisites''... '  [B053-009].txt,8.11%,0.00%,111,Ungeeignet,9,0,671
"650310 — HCO Bulletin — Words, Misunderstood Goofs  [B089-001].txt",0.74%,0.00%,538,Geeignet,4,0,3157
580124 — HCO Bulletin — Subject - Outline of the Activities of the HCO Office of L. Ron Hubbard  [B034-008].txt,1.00%,0.50%,402,Geeignet,4,2,2521
700629 Issue 2 — HCO Bulletin — List L3A  [B010-070].txt,3.20%,0.99%,406,Geeignet,13,4,2518
690405 — HCO Bulletin — New Preclears - The Workability of Scientology  [B042-019].txt,2.17%,0.11%,1795,Geeignet,39,2,9928
820308R — HCO Bulletin — Confessionals and the Non-Interference Zone  [B061-010].txt,10.37%,0.20%,511,Ungeeignet,53,1,2901
721218 — HCO Bulletin — Aspects of Integrity Processing  [B012-211].txt,3.14%,0.10%,1019,Geeignet,32,1,5620
600310 — HCO Bulletin — Some Points to Remember  [B024-072].txt,2.64%,0.38%,265,Geeignet,7,1,1522
690816 — HCO Bulletin — Handling Illness In Scientology  [B009-148].txt,2.92%,0.97%,718,Geeignet,21,7,4056
690218 — HCO Bulletin — Stage Presence Training Drills  [B042-009].txt,5.86%,0.18%,563,Ungeeignet,33,1,3415
630127 — HCO Bulletin — Routine 2 - Simplified  [B003-005].txt,4.38%,1.64%,3103,Geeignet,136,51,16657
580810 — HCO Bulletin — ACC Auxiliary Procedure  [B128-004].txt,7.99%,0.63%,638,Ungeeignet,51,4,3753
590819 — HCO Bulletin — HAS Co-Audit - Finding Terminals  [B023-142].txt,2.26%,0.28%,354,Geeignet,8,1,1945
700921 — HCO Bulletin — Study Definitions  [B076-038].txt,5.42%,0.87%,1033,Ungeeignet,56,9,6494
580118 — HCO Bulletin — Control  [B022-004].txt,4.04%,1.01%,99,Geeignet,4,1,527
690427 — HCO Bulletin — R3R Restated - Commands on Second Run on an Incident  [B009-050].txt,8.08%,0.23%,433,Ungeeignet,35,1,2498
"780701 — HCO Bulletin — Dianetic Prepared Assessment Rundown - Action 15, The  [B102-007].txt",1.82%,0.17%,603,Geeignet,11,1,3875
610921 — HCO Bulletin — Security Check Children - HCO WW Security Form 8  [B082-053].txt,0.39%,0.16%,1280,Geeignet,5,2,7169
710404RA — HCO Bulletin — Use of Dianetics  [B052-010].txt,3.90%,1.39%,794,Geeignet,31,11,4383
590203 — HCO Bulletin — Flattening a Process  [B023-028].txt,0.00%,0.00%,51,Geeignet,0,0,286
651108 — HCO Bulletin — Suppressives and Hidden Standards  [B031-032].txt,0.66%,0.00%,456,Geeignet,3,0,2669
"720330 — HCO Bulletin — Primary Correction Rundown Revised, The  [B049-049].txt",5.44%,0.78%,772,Ungeeignet,42,6,4493
"770122 — HCO Bulletin — In Tech, the Only Way to Achieve It  [B101-002].txt",1.46%,0.98%,205,Geeignet,3,2,1239
590306 — HCO Bulletin — How to Do a Diagnosis on Dynamic Straightwire  [B144-008].txt,10.42%,0.58%,691,Ungeeignet,72,4,3928
690712 Issue 4 — HCO Bulletin — Starting Dianetics on PCs Who Have Had Scientology Auditing  [B042-111].txt,0.62%,0.62%,160,Geeignet,1,1,907
